This is the first Osage dictionary in the modern orthography =)
Each Osage word is written in the Osage alphabet and in a Latin transliteration
Can't see the Osage on your device? Download a font: https://www.google.com/get/noto/#sans-osge
This was not possible without the help of many volunteers
Thanks to Jakub, Wojtek, Filippos, Jonás, Victor, Aaron, Tahsin, Hubert, Christopher, Santiago, Max, and Batyah
Special thanks to Craig, Mark, Michele, and Aino!
I hope that this project will help people learn Osage so that the language can be passed onto future generations
-Harris

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
advance: in ~	𐓬𐓘𐓡𐓘͘𐓧𐓟	hpahą́le
advanced age	𐓩𐓪͘	nǫ́ǫ
affect a person	𐓪𐓨𐓘͘𐓵𐓣͘	omą́ðį
affected: have one's body ~ by peyote	𐓨𐓘͘𐓤𐓘ž𐓪𐓣𐓤𐓘	mą́hkažóika
afraid	𐓵𐓘͘𐓲𐓟 𐓪𐓵𐓣𐓮𐓘͘𐓡𐓘, 𐓵𐓘͘𐓲𐓟 𐓪𐓮𐓘𐓣	ðą́ące óðisąha, ðą́ące ósai
afraid: be ~ (of)	𐓩𐓪͘𐓬𐓟, 𐓪𐓩𐓣́͘ž𐓣͘	nǫ́ǫhpe, onį́žį
afraid: be ~ of	𐓣𐓩𐓪͘𐓬𐓟	íinǫǫhpe
afraid: something to be ~ of	𐓩𐓪͘𐓬𐓟𐓷𐓘𐓵𐓟	nǫ́ǫhpewaðe
African American	𐓨𐓣͘𐓤𐓘𐓮𐓘, 𐓨𐓣͘𐓘𐓮𐓘, 𐓩𐓣𐓤𐓘 𐓮𐓘𐓬𐓟	mįhkása, mįįása, níhka sápe
after	𐓘𐓧𐓣͘𐓡𐓘	álįįha
after the present event	𐓘𐓤𐓘𐓡𐓘𐓰𐓘	ákahahta
afternoon	𐓨𐓣́͘𐓣͘𐓵𐓪𐓰𐓘 𐓵𐓣𐓯𐓰𐓘	mį́įðóhta ðiišta
afternoon: late ~	𐓨𐓣́͘𐓣͘𐓬𐓘𐓬𐓪	mį́įhpapo
afterward	𐓘𐓧𐓣͘𐓡𐓘	álįįha
afterward (after the present event)	𐓘𐓤𐓘𐓡𐓘𐓰𐓘	ákahahta
afterward (following, next)	𐓘𐓤𐓣𐓡𐓘	áhkiha
again	𐓘𐓵𐓪𐓡𐓘, 𐓯𐓣	aðóoha, ši
again and again	𐓯𐓣𐓩𐓘͘	šíną
against: be ~	𐓣ž𐓪𐓯𐓣	ížoši
against: place vertically ~	𐓘𐓧𐓘͘	álą
against all odds	𐓵𐓘͘𐓲𐓘𐓻𐓣	ðąącháži
ago	𐓡𐓘𐓯𐓣𐓰𐓘	haašíhta
ago: a long time ~	𐓤𐓘𐓡𐓶𐓻𐓘	kaahúuža
agree, agree with	𐓣𐓩𐓘͘𐓡𐓣	iiną́hi
agree with something	𐓣𐓯𐓰𐓘͘	íištą
ahead	𐓤𐓪𐓰𐓘𐓡𐓘	kootáha
ahead: go ~	𐓨𐓘͘𐓵𐓣͘	mąðį́
ahead: go ~ with something	𐓟𐓤𐓣𐓪͘	ékiǫ
aid (verb)	𐓪𐓤𐓘͘	óhką
air	𐓰𐓘𐓲𐓟	htaacé
airplane; ride or fly in an ~	𐓤𐓣͘	kį́į
alcohol; drink ~	𐓷𐓘𐓵𐓘𐓰𐓘͘	waðáahtą
alcoholic beverage	𐓬𐓟𐓲𐓟𐓩𐓣	hpéecenii
alert	𐓷𐓘𐓰𐓪𐓤𐓟	wahtóke
alight (from)	𐓪𐓮𐓣, 𐓪𐓷𐓣𐓮𐓣	ósi, owísi
alight from (e.g., a vehicle or a horse)	𐓷𐓣𐓮𐓣	wísi
alive: be ~	𐓩𐓣	ní
all	𐓺𐓘𐓩𐓣	záani
all: that's ~	𐓤𐓘𐓯𐓟𐓩𐓘͘, 𐓤𐓘𐓯𐓪͘𐓣͘𐓤𐓟	kaašéną, kaašǫ́įke
all day (long)	𐓡𐓘͘𐓬𐓘 𐓺𐓘𐓩𐓣	hą́ąpa záani
all night: stay ~	𐓻𐓘͘	žą́ą
all other things	𐓰𐓘𐓰𐓘͘ 𐓟𐓻𐓣𐓯𐓤𐓣	táatą éžiški
all over, all paths and directions (e.g., children running off in all directions)	𐓡𐓘𐓯𐓤𐓣	háaški
all right	𐓯𐓤𐓘𐓯𐓤𐓘𐓵𐓘	škaškáða
all the time	𐓡𐓘𐓲𐓣, 𐓯𐓰𐓘͘	háachi, štą
all the world, all the universe	𐓩𐓣𐓪͘𐓰𐓘 𐓺𐓘𐓩𐓣	niǫhta záani
allow someone to do something	𐓤𐓯𐓣𐓵𐓟	kšiðe
allow to live	𐓩𐓣́𐓵𐓟	níðe
almost	𐓵𐓪𐓡𐓘, 𐓡𐓪𐓩𐓣	ðóha, hóni
alone, be alone	𐓟𐓷𐓘𐓻𐓣͘	éwažį
alone, leave ~ (a sitting person or thing)	𐓯𐓪͘𐓣͘𐓤𐓯𐓟𐓵𐓟	šǫ́įkšeðe
alone, leave ~ ! (a command)	𐓯𐓪͘ 𐓵𐓣𐓟	šǫ́ ðíe
alone, leave it ~	𐓤𐓘𐓯𐓪͘𐓟 𐓲𐓟	kaašǫ́e che
along: leave ~ without bothering, touching, or otherwise disturbing	𐓯𐓪͘𐓲𐓟𐓵𐓟	šǫ́cheðé
along, alongside	𐓬𐓘𐓮𐓤𐓶𐓡𐓘	páskuha
along a path	𐓡𐓘	ha
along that way	𐓟 𐓰𐓘𐓡𐓘	ée htáha
already	𐓵𐓣𐓯𐓰𐓘͘	ðiištą́
Alred: Jo Ann Shunkamolah ~ (personal name: Looking Only at Her)	𐓟𐓩𐓘͘𐓰𐓪͘𐓣͘𐓬eeną́tǫįpe
also	𐓟𐓯𐓤𐓣, 𐓯𐓤𐓣, -𐓯𐓤𐓣𐓰𐓘͘	éški, ški, -škitą
always	𐓡𐓘𐓲𐓣, 𐓣𐓤𐓣𐓡𐓘, 𐓤𐓘𐓯𐓪͘𐓟, 𐓩𐓘͘ [ITERATIVE], 𐓯𐓪͘𐓯𐓪͘𐓷𐓟, 𐓯𐓰𐓘͘	háachi, íkiha, kaašǫ́e, ną [ITERATIVE], šǫǫšǫ́we, štą
always did	𐓩𐓘͘𐓬𐓟	nąpe
always late	𐓪𐓤𐓸𐓘͘𐓻𐓣	ókxąži
amen	𐓤𐓘𐓯𐓟𐓩𐓘͘	kaašéną
among: be ~	𐓪𐓵𐓣𐓺𐓘͘, 𐓪𐓨𐓘͘𐓵𐓣͘	oðízą, omą́ðį
among: be ~ a group of people	𐓪𐓨𐓘͘𐓵𐓣͘	omą́ðį
among: be ~ others	𐓪𐓵𐓣𐓺𐓘͘	oðízą
among: mixed ~	𐓣𐓷𐓣𐓡𐓟	íwihe
amount: large ~	𐓡𐓶𐓰𐓘͘𐓤𐓘	huuhtą́ka
amount: small ~	𐓡𐓟𐓬𐓟𐓻𐓣͘	hépežį
amount: small ~ (approximately half a container)	𐓡𐓟𐓬𐓟	hépe
amount: small ~ (not quite filling a container)	𐓪𐓡𐓟𐓬𐓟	ohépe
amusing	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪𐓰𐓘	wah́ohota, wahóta
amusing person	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘	wah́ohota
ancestors	𐓨𐓪͘𐓬𐓯𐓟	mǫ́pše
ancient	𐓤𐓪𐓲𐓣	kóoci
and	𐓤𐓪𐓟, 𐓬𐓘𐓰𐓘͘	kóe, pátą
and (in addition)	𐓯𐓤𐓣	ški
and (in numbers only)	𐓟𐓲𐓣	éci
and then	𐓤𐓘𐓤𐓪͘ 𐓰𐓘͘,𐓤𐓘𐓵𐓪͘, 𐓤𐓪𐓟	káakǫ tą,kaðǫ́, kóe
angel	𐓘𐓡𐓶𐓘𐓧𐓣͘	áahualįį
angle	𐓬𐓘𐓹𐓪	paaɣó
angry	𐓷𐓘𐓻𐓣͘ 𐓬𐓣𐓻𐓣	wažį́ hpíiži
angry: be ~	𐓧𐓪͘	lǫ́ǫ
angry: be ~ at someone	𐓪𐓤𐓣𐓻𐓣͘	ohkížį
angry: be ~ at someone or at each other	𐓤𐓣𐓻𐓣͘	hkížį
angry: be ~ with	𐓣𐓤𐓣𐓻𐓣͘	ihkížį
angry: become or get~	𐓪𐓻𐓣͘ 𐓬𐓣𐓻𐓣	óžį hpíiži
angry: feel ~ at	𐓤𐓣𐓻𐓣͘	hkížį
angry: make someone ~	𐓵𐓶𐓧𐓘͘, 𐓷𐓘𐓻𐓣͘ 𐓬𐓣𐓻𐓣 𐓤𐓘𐓹𐓟	ðúulą, wažį́ hpíiži káaɣe
animal	𐓷𐓘𐓲𐓶𐓰𐓘	wacúhta
animal sounds: make ~ (moo, bark or howl, sing [as a bird], quack, etc.)	𐓡𐓪, 𐓡𐓪𐓰𐓘͘	hóo, hóohtą
ankle	𐓡𐓣𐓤𐓘͘	híihką
announcer	𐓷𐓘𐓲𐓣𐓬𐓸𐓚	wacípxaį
annoyed: be ~ by	𐓘𐓧𐓘𐓤𐓟	áalake
annually	𐓪𐓨𐓘͘𐓣͘𐓤𐓘 𐓷𐓣͘ 𐓡𐓣𐓟𐓩𐓘͘	omą́įhka wį hieną
anoint with	𐓮𐓰𐓘𐓵𐓟	stáðe
another one	𐓟𐓻𐓣 𐓷𐓣͘	éži wį
ant	𐓻𐓘𐓬𐓶𐓯𐓤𐓘	žápuška
anus	𐓣͘𐓧𐓟𐓡𐓘	įléha
anxious: be ~ for	𐓣𐓡𐓣𐓲𐓟	íhice
anxious: feel ~ about	𐓪𐓵𐓘͘𐓲𐓟𐓯𐓣 [LFD]	óðąąceši [LFD]
any	𐓰𐓪𐓘	tóa
any other thing	𐓰𐓘𐓰𐓘, 𐓟𐓻𐓣𐓯𐓤𐓣	táata, éžiški
anybody	𐓡𐓪𐓷𐓘𐓵𐓟𐓯𐓤𐓣, 𐓬𐓟	howaðéeški, pée
anyone	𐓬𐓟,́ 𐓷𐓣͘	pée,́ wį
anything	𐓡𐓪𐓷𐓘𐓲𐓟𐓯𐓤𐓣, 𐓰𐓘𐓰𐓘͘	howachéeški, táatą
anything, anything else	𐓰𐓘𐓰𐓘͘ 𐓟𐓻𐓣𐓯𐓤𐓣	táatą éžiški
anything at all	𐓰𐓘𐓰𐓘͘ 𐓡𐓪𐓷𐓘𐓲𐓟𐓯𐓤𐓣	táatą howachéeški
always late	𐓪𐓤𐓸𐓘͘𐓻𐓣	ókxąži
amen	𐓤𐓘𐓯𐓟𐓩𐓘͘	kaašéną
among: be ~	𐓪𐓵𐓣𐓺𐓘͘, 𐓪𐓨𐓘͘𐓵𐓣͘	oðízą, omą́ðį
among: be ~ a group of people	𐓪𐓨𐓘͘𐓵𐓣͘	omą́ðį
among: be ~ others	𐓪𐓵𐓣𐓺𐓘͘	oðízą
among: mixed ~	𐓣𐓷𐓣𐓡𐓟	íwihe
amount: large ~	𐓡𐓶𐓰𐓘͘𐓤𐓘	huuhtą́ka
amount: small ~	𐓡𐓟𐓬𐓟𐓻𐓣͘	hépežį
amount: small ~ (approximately half a container)	𐓡𐓟𐓬𐓟	hépe
amount: small ~ (not quite filling a container)	𐓪𐓡𐓟𐓬𐓟	ohépe
amusing	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪𐓰𐓘	wah́ohota, wahóta
amusing person	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘	wah́ohota
ancestors	𐓨𐓪͘𐓬𐓯𐓟	mǫ́pše
ancient	𐓤𐓪𐓲𐓣	kóoci
and	𐓤𐓪𐓟, 𐓬𐓘𐓰𐓘͘ (𐓪f𐓰𐓟𐓩 𐓩𐓪𐓰 𐓪v𐓟r𐓰𐓧y 𐓟𐓸𐓬r𐓟𐓮𐓮𐓟d 𐓣𐓩 O𐓮𐓘g𐓟)	kóe, pátą (often not overtly expressed in Osage)
and (in addition)	𐓯𐓤𐓣	ški
and (in numbers only)	𐓟𐓲𐓣	éci
and then	𐓤𐓘𐓤𐓪͘ 𐓰𐓘͘,𐓤𐓘𐓵𐓪͘, 𐓤𐓪𐓟	káakǫ tą,kaðǫ́, kóe
anew (see inceptive prefix)		
angel	𐓘𐓡𐓶𐓘𐓧𐓣͘	áahualįį
angle	𐓬𐓘𐓹𐓪	paaɣó
angry	𐓷𐓘𐓻𐓣͘ 𐓬𐓣𐓻𐓣	wažį́ hpíiži
angry: be ~	𐓧𐓪͘	lǫ́ǫ
angry: be ~ at someone	𐓪𐓤𐓣𐓻𐓣͘	ohkížį
angry: be ~ at someone or at each other	𐓤𐓣𐓻𐓣͘	hkížį
angry: be ~ with	𐓣𐓤𐓣𐓻𐓣͘	ihkížį
angry: become or get~	𐓪𐓻𐓣͘ 𐓬𐓣𐓻𐓣	óžį hpíiži
angry: feel ~ at	𐓤𐓣𐓻𐓣͘	hkížį
angry: make someone ~	𐓵𐓶𐓧𐓘͘, 𐓷𐓘𐓻𐓣͘ 𐓬𐓣𐓻𐓣 𐓤𐓘𐓹𐓟	ðúulą, wažį́ hpíiži káaɣe
animal	𐓷𐓘𐓲𐓶𐓰𐓘	wacúhta
animal sounds: make ~ (moo, bark or howl, sing [as a bird], quack, etc.)	𐓡𐓪, 𐓡𐓪𐓰𐓘͘	hóo, hóohtą
ankle	𐓡𐓣𐓤𐓘͘	híihką
announcer	𐓷𐓘𐓲𐓣𐓬𐓸𐓚	wacípxaį
annoyed: be ~ by	𐓘𐓧𐓘𐓤𐓟	áalake
annually	𐓪𐓨𐓘͘𐓣͘𐓤𐓘 𐓷𐓣͘ 𐓡𐓣𐓟𐓩𐓘͘	omą́įhka wį hieną
anoint with	𐓮𐓰𐓘𐓵𐓟	stáðe
another one	𐓟𐓻𐓣 𐓷𐓣͘	éži wį
ant	𐓻𐓘𐓬𐓶𐓯𐓤𐓘	žápuška
anus	𐓣͘𐓧𐓟𐓡𐓘	įléha
anxious: be ~ for	𐓣𐓡𐓣𐓲𐓟	íhice
anxious: feel ~ about	𐓪𐓵𐓘͘𐓲𐓟𐓯𐓣 [LFD]	óðąąceši [LFD]
any	𐓰𐓪𐓘	tóa
any other thing	𐓰𐓘𐓰𐓘, 𐓟𐓻𐓣𐓯𐓤𐓣	táata, éžiški
anybody	𐓡𐓪𐓷𐓘𐓵𐓟𐓯𐓤𐓣, 𐓬𐓟	howaðéeški, pée
anyone	𐓬𐓟,́ 𐓷𐓣͘	pée,́ wį
anything	𐓡𐓪𐓷𐓘𐓲𐓟𐓯𐓤𐓣, 𐓰𐓘𐓰𐓘͘	howachéeški, táatą
anything, anything else	𐓰𐓘𐓰𐓘͘ 𐓟𐓻𐓣𐓯𐓤𐓣	táatą éžiški
anything at all	𐓰𐓘𐓰𐓘͘ 𐓡𐓪𐓷𐓘𐓲𐓟𐓯𐓤𐓣	táatą howachéeški
anything on doesn't like	𐓤𐓣𐓡𐓪͘𐓻𐓣	kihǫ́ǫži
antique	𐓤𐓪𐓲𐓣	kóoci
anyway	𐓪𐓵𐓘͘𐓻𐓣	óðąži
apart: be ~	𐓤𐓣𐓵𐓘𐓡𐓘𐓬𐓘	kiðahapa
apart: pull or tear ~ (e.g., a tree limb from the trunk)	𐓵𐓶𐓬𐓘𐓸𐓘	ðupáxa
apart from anyone else	𐓪𐓤𐓘͘𐓲𐓣	ohką́ci
appear	𐓲𐓣͘, 𐓣𐓵𐓪͘𐓬𐓟, 𐓷𐓘𐓲𐓣͘	hcį́į, íðǫpe, wahcį́į
appear a certain way: make one ~	𐓰𐓪͘𐓬𐓟𐓷𐓘𐓵𐓟	tǫ́pewaðe
appear so	𐓰𐓪͘𐓬𐓟𐓷𐓘𐓵𐓟	tǫ́pewaðe
appear suddenly	𐓷𐓘𐓲𐓣͘	wahcį́į
Appear Suddenly to Them (personal name)	𐓷𐓘𐓤𐓘𐓲𐓣͘𐓟	wakáahcįe
appendix (the internal organ)	𐓯𐓶𐓬𐓟	šúpe
appetite: have no ~	𐓷𐓘𐓩𐓪͘𐓜𐓘𐓺𐓣	wanǫ́brazi
apple	𐓤𐓘͘𐓲𐓟	hką́ące
apply	𐓤𐓘͘𐓲𐓟	hką́ące
apply (a substance such as ointment, grease or cream)	𐓮𐓰𐓘𐓵𐓟	stáðe
apply makeup	𐓣͘𐓲𐓟 𐓤𐓘𐓹𐓟	įcé káaɣe
apportion	𐓣𐓤𐓣𐓧𐓘𐓣	íhkilai
appreciative	𐓪𐓷𐓟𐓩𐓘	óweena
appreciative: be ~ (of)	𐓷𐓟́𐓟𐓩𐓘͘	wéeną
approach	𐓨𐓘͘𐓵𐓣͘	mąðį́
appropriate	𐓵𐓘͘𐓲𐓟, 𐓟𐓤𐓪͘	ðąąché, ékǫ
appropriate: be ~	𐓣𐓰𐓘	íhta
appropriately	𐓟𐓤𐓪͘	ékǫ
approve of	𐓣𐓩𐓘͘𐓡𐓣	iiną́hi
apricot	𐓤𐓘͘𐓲𐓟 𐓺𐓣 𐓻𐓣͘	hką́ące zi žį́
April	𐓨𐓣͘𐓪͘𐓬𐓘 𐓯𐓘𐓬𐓟, 𐓨𐓣͘𐓪͘𐓬𐓘 𐓷𐓟𐓰𐓪𐓬𐓘	mį́įǫpa šápe, mį́įǫpa wetóopa
Arapaho (tribe or tribal member)	𐓚𐓬𐓘𐓸𐓪	aį́paxo
arbor	𐓘𐓲𐓣𐓰𐓘͘, 𐓷𐓘𐓻𐓘𐓣𐓲𐓣	áhcihtą, wažáihci
arbor house: long ~	𐓡𐓘𐓮𐓤𐓘𐓲𐓣	haaskáhci
arch of the foot	𐓪𐓮𐓤𐓣, 𐓮𐓣𐓪𐓮𐓤𐓣	óski, síioski
area: cleared off ~	𐓪𐓯𐓰𐓘	oštá
argue on behalf of (e.g., as an attorney)	𐓘𐓤𐓣𐓟	áhkie
argument	𐓪𐓣𐓟, 𐓰𐓘𐓤𐓟 𐓣𐓟	óie, taaké ie
arise (from a bed or chair)	𐓬𐓘𐓡𐓘͘	hpaahą́
arm	𐓘	áa
armband	𐓘𐓤𐓪͘, 𐓘𐓬𐓣𐓪𐓧𐓘͘	áahkǫ, áapiolą
armed forces	𐓘𐓤𐓣𐓰𐓘, 𐓘𐓤𐓣𐓰𐓘 𐓪𐓨𐓘͘𐓵𐓣͘, 𐓰𐓘𐓤𐓟̌ 𐓪𐓩𐓘͘𐓻𐓣͘	áhkita, áhkita omą́ðį, taakě oną́ąžį
armed person	𐓘𐓤𐓣𐓰𐓘	áhkita
army	𐓘𐓤𐓣𐓰𐓘, 𐓘𐓤𐓣𐓰𐓘 𐓪𐓨𐓘͘𐓵𐓣͘	áhkita, áhkita omą́ðį
around	𐓪𐓤𐓘𐓷𐓣͘𐓹𐓟	okáwįɣe
around: be ~ close	𐓘𐓤𐓣𐓹𐓟	ákiɣe
around: go ~	𐓤𐓪͘𐓤𐓪͘𐓟	kǫ́kǫe
around: go, pass, or walk ~	𐓘𐓤𐓣𐓹𐓟, 𐓘𐓬𐓯𐓟	ákiɣe, ápše
around: go ~ something	𐓣𐓵𐓣𐓯𐓘͘𐓡𐓘	íðišąha
around: move or be all ~	𐓘𐓤𐓣𐓹𐓟	ákiɣe
around: turn oneself ~	𐓘𐓨𐓘͘𐓰𐓘 𐓤𐓣𐓧𐓣𐓤𐓫𐓹𐓟, 𐓤𐓣𐓧𐓣𐓮𐓘͘	ámąhta hkilíikoįɣe, hkilíisą
around: turn someone/something ~	𐓵𐓣𐓤𐓫𐓹𐓟	ðiihkóįɣe
around: twist ~ (e.g., a crepe paper steamer)	𐓵𐓶𐓮𐓘͘𐓮𐓘͘𐓷𐓣͘	ðusą́sąwį
around(as in drive around, turn around etc.)	𐓷𐓣͘𐓹𐓟	wįɣe
around(e.g., a house, tree, tipi, drum)	𐓘𐓬𐓟𐓰𐓸𐓘	ápetxa
around the edge(e.g., of a pond)	𐓘𐓤𐓣𐓹𐓟	ákiɣe
around this way	𐓵𐓟𐓤𐓘𐓣𐓡𐓘	ðeekáiha
Aroused by Something That Suddenly Appears (personal name, referring to a deer suddenly looking up)	𐓷𐓘𐓤𐓘𐓲𐓣͘𐓟	wakáahcįe
arrange	𐓵𐓶𐓮𐓰𐓘𐓤𐓪	ðuustáko
array (verb) (multiple items)on top of something else	𐓘𐓻𐓶	ážu
arrest (put someone in jail)	𐓡𐓘͘𐓩𐓘𐓬𐓘𐓺𐓟 𐓪𐓧𐓘͘	hą́ąnahpazé oolą́
arrive back here	𐓘𐓧𐓣	alí
arrive back there	𐓘𐓤𐓯𐓣	akší
arrive here	𐓘𐓲𐓣	achí
arrive here with (motion accomplished)	𐓘𐓵𐓣͘𐓘𐓲𐓣	aðįachi
arrive home	𐓘𐓤𐓮́𐓣	akśí
arrive home here (motion accomplished)	𐓘𐓧𐓣	alí
arrive there (motion accomplished)	𐓘𐓡𐓣	ahí
arrow	𐓨𐓘͘	mą́ą́
arrow shaft	𐓨𐓪͘𐓮𐓟	mǫ́ǫse
arrow shaft tree	𐓨𐓪͘𐓮𐓘 𐓡𐓶	mǫ́ǫsa hu
artery (blood vessel)	𐓤𐓘͘, 𐓧𐓶𐓯𐓶𐓬𐓟	hką́, lušúpe
arthritis	𐓷𐓘𐓡𐓶𐓩𐓣	wahúni
artichoke	𐓬𐓪͘𐓹𐓟	hpǫ́ɣe
as (see because)		
as	𐓯q́	šq́
as...as	𐓟𐓤𐓪͘	ékǫ́
as well	𐓮́𐓤𐓣	śki
ashamed, feel ashamed	𐓣𐓯𐓲𐓟𐓷𐓘𐓣	iišcéwai
ashes	𐓩𐓣𐓸𐓪𐓲𐓟	níixoce
ashtray	𐓩𐓣𐓸𐓪𐓲𐓪𐓻𐓶	níixócoožu
ask a favor	𐓷𐓘𐓰𐓘, 𐓷𐓘𐓯𐓣	waatá, waší
ask a question	𐓣𐓵𐓪͘𐓹𐓟	iðǫɣe
ask concerning one's own people or things	𐓣𐓧𐓪͘𐓹𐓟	ilǫ́ɣe
ask folks to work for one	𐓘𐓷𐓘𐓷𐓘𐓯𐓣	áwawaši
ask for	𐓰𐓘	tá
ask for (as a loan), ask for something to use it	𐓪𐓰𐓘	ootá
ask permission	𐓣𐓡𐓪͘	íihǫ
ask someone questions	𐓵𐓶𐓬𐓸𐓘𐓵𐓟	ðuupxáðe
ask someone to do something	𐓟, 𐓣𐓡q	ée, íihq
ask someone to help out	𐓷𐓘𐓯𐓣	waší
aspirin or any other kind of medicine	𐓨𐓘͘𐓤𐓘	mąhká
ass, asshole	𐓣͘𐓧𐓟𐓡𐓘	įléha
ass (donkey)	𐓩𐓘͘𐓰𐓘͘𐓰𐓘͘	nąąhtą́htąą
assassinate	𐓲'𐓟𐓵𐓟	cˀéðe
assemble (as for a council)	𐓤𐓣𐓮𐓰𐓪	kiistó
assign a name to something or someone	𐓵𐓘𐓲𐓟	ðaacé
assist	𐓪𐓤𐓘͘	óhką
assistant chief	𐓤𐓘𐓡𐓣𐓤𐓟 𐓪𐓤'𐓘͘, 𐓤𐓘𐓡𐓣𐓤𐓟 𐓪𐓰𐓸𐓘͘	kahíke ókˀą, kahíke otxą́
at	𐓲𐓣, 𐓤𐓣	ci, ki
at (something lying or spread out)	𐓤𐓯𐓣	kši
at a time (e.g., a bit at a time, two at a time)	𐓩𐓘͘𐓵𐓟	nąðé
at least	𐓩𐓘𐓯𐓪͘	našǫ
at rest	𐓯𐓤𐓘𐓯𐓤𐓘𐓵𐓘	škaškáða
at that place or time: be ~	𐓟𐓲𐓣	ecí
at this time	𐓵𐓟𐓰𐓸𐓘͘𐓲𐓣	ðetxą́ci
