a, an	wį, wįxce
amusing	wah́ohota, wahóta
amusing person	wah́ohota
ancestors	mǫ́pše
ancient	kóoci
and	kóe, pátą
and (in addition)	ški
and (in numbers only)	éci
and then	káakǫ tą,kaðǫ́, kóe
angel	áahualįį
angle	paaɣó
angry	wažį́ hpíiži
angry: be ~	lǫ́ǫ
angry: be ~ at someone	ohkížį
angry: be ~ at someone or at each other	hkížį
angry: be ~ with	ihkížį
angry: become or get~	óžį hpíiži
angry: feel ~ at	hkížį
angry: make someone ~	ðúulą, wažį́ hpíiži káaɣe
animal	wacúhta
animal sounds: make ~ (moo, bark or howl, sing [as a bird], quack, etc.)	hóo, hóohtą
ankle	híihką
announcer	wacípxaį
annoyed: be ~ by	áalake
annually	omą́įhka wį hieną
anoint with	stáðe
another one	éži wį
ant	žápuška
anus	įléha
anxious: be ~ for	íhice
anxious: feel ~ about	óðąąceši [LFD]
any	tóa
any other thing	táata, éžiški
anybody	howaðéeški, pée
anyone	pée,́ wį
anything	howachéeški, táatą
anything, anything else	táatą éžiški
anything at all	táatą howachéeški
always late	ókxąži
amen	kaašéną
among: be ~	oðízą, omą́ðį
among: be ~ a group of people	omą́ðį
among: be ~ others	oðízą
among: mixed ~	íwihe
amount: large ~	huuhtą́ka
amount: small ~	hépežį
amount: small ~ (approximately half a container)	hépe
amount: small ~ (not quite filling a container)	ohépe
amusing	wah́ohota, wahóta
amusing person	wah́ohota
ancestors	mǫ́pše
ancient	kóoci
and	kóe, pátą (often not overtly expressed in Osage)
and (in addition)	ški
and (in numbers only)	éci
and then	káakǫ tą,kaðǫ́, kóe
anew (see inceptive prefix)	
angel	áahualįį
angle	paaɣó
angry	wažį́ hpíiži
angry: be ~	lǫ́ǫ
angry: be ~ at someone	ohkížį
angry: be ~ at someone or at each other	hkížį
angry: be ~ with	ihkížį
angry: become or get~	óžį hpíiži
angry: feel ~ at	hkížį
angry: make someone ~	ðúulą, wažį́ hpíiži káaɣe
animal	wacúhta
animal sounds: make ~ (moo, bark or howl, sing [as a bird], quack, etc.)	hóo, hóohtą
ankle	híihką
announcer	wacípxaį
annoyed: be ~ by	áalake
annually	omą́įhka wį hieną
anoint with	stáðe
another one	éži wį
ant	žápuška
anus	įléha
anxious: be ~ for	íhice
anxious: feel ~ about	óðąąceši [LFD]
any	tóa
any other thing	táata, éžiški
anybody	howaðéeški, pée
anyone	pée,́ wį
anything	howachéeški, táatą
anything, anything else	táatą éžiški
anything at all	táatą howachéeški
anything on doesn't like	kihǫ́ǫži
antique	kóoci
anyway	óðąži
apart: be ~	kiðahapa
apart: pull or tear ~ (e.g., a tree limb from the trunk)	ðupáxa
apart from anyone else	ohką́ci
appear	hcį́į, íðǫpe, wahcį́į
appear a certain way: make one ~	tǫ́pewaðe
appear so	tǫ́pewaðe
appear suddenly	wahcį́į
Appear Suddenly to Them (personal name)	wakáahcįe
appendix (the internal organ)	šúpe
appetite: have no ~	wanǫ́brazi
apple	hką́ące
apply	hką́ące
apply (a substance such as ointment, grease or cream)	stáðe
apply makeup	įcé káaɣe
apportion	íhkilai
appreciative	óweena
appreciative: be ~ (of)	wéeną
approach	mąðį́
appropriate	ðąąché, ékǫ
appropriate: be ~	íhta
appropriately	ékǫ
approve of	iiną́hi
apricot	hką́ące zi žį́
April	mį́įǫpa šápe, mį́įǫpa wetóopa
Arapaho (tribe or tribal member)	aį́paxo
arbor	áhcihtą, wažáihci
arbor house: long ~	haaskáhci
arch of the foot	óski, síioski
area: cleared off ~	oštá
argue on behalf of (e.g., as an attorney)	áhkie
argument	óie, taaké ie
arise (from a bed or chair)	hpaahą́
arm	áa
armband	áahkǫ, áapiolą
armed forces	áhkita, áhkita omą́ðį, taakě oną́ąžį
armed person	áhkita
army	áhkita, áhkita omą́ðį
around	okáwįɣe
around: be ~ close	ákiɣe
around: go ~	kǫ́kǫe
around: go, pass, or walk ~	ákiɣe, ápše
around: go ~ something	íðišąha
around: move or be all ~	ákiɣe
around: turn oneself ~	ámąhta hkilíikoįɣe, hkilíisą
around: turn someone/something ~	ðiihkóįɣe
around: twist ~ (e.g., a crepe paper steamer)	ðusą́sąwį
around(as in drive around, turn around etc.)	wįɣe
around(e.g., a house, tree, tipi, drum)	ápetxa
around the edge(e.g., of a pond)	ákiɣe
around this way	ðeekáiha
Aroused by Something That Suddenly Appears (personal name, referring to a deer suddenly looking up)	wakáahcįe
arrange	ðuustáko
array (verb) (multiple items)on top of something else	ážu
arrest (put someone in jail)	hą́ąnahpazé oolą́
arrive back here	alí
arrive back there	akší
arrive here	achí
arrive here with (motion accomplished)	aðįachi
arrive home	akśí
arrive home here (motion accomplished)	alí
arrive there (motion accomplished)	ahí
arrow	mą́ą́
arrow shaft	mǫ́ǫse
arrow shaft tree	mǫ́ǫsa hu
artery (blood vessel)	hką́, lušúpe
arthritis	wahúni
artichoke	hpǫ́ɣe
as (see because)	
as	šq́
as...as	ékǫ́
as well	śki
ashamed, feel ashamed	iišcéwai
ashes	níixoce
ashtray	níixócoožu
ask a favor	waatá, waší
ask a question	iðǫɣe
ask concerning one's own people or things	ilǫ́ɣe
ask folks to work for one	áwawaši
ask for	tá
ask for (as a loan), ask for something to use it	ootá
ask permission	íihǫ
ask someone questions	ðuupxáðe
ask someone to do something	ée, íihq
ask someone to help out	waší
aspirin or any other kind of medicine	mąhká
ass, asshole	įléha
ass (donkey)	nąąhtą́htąą
assassinate	cˀéðe
assemble (as for a council)	kiistó
assign a name to something or someone	ðaacé
assist	óhką
assistant chief	kahíke ókˀą, kahíke otxą́
at	ci, ki
at (something lying or spread out)	kši
at a time (e.g., a bit at a time, two at a time)	nąðé
at least	našǫ
at rest	škaškáða
at that place or time: be ~	ecí
at this time	ðetxą́ci
attend	oną́ąži
attend to	óðąąceši
attention: act of paying ~	nąąɣúce
attorney	wáhkie
attractive	ðáalį
augment	htą́ą
August	hlaazípe, mį́įǫpa hkíetoopa
aunt: maternal ~ (specifically, mother's older sister)	
my mother's older sister	iiná, iiną́htą
your mother's older sister	ðiihǫ́htą
his/her mother's older sister	iihǫ́htą, iihǫ́
aunt: maternal ~ (specifically, mother's younger sister)	
my mother's younger sister	iinážį, iiną́
your mother's younger sister	ðiihǫ́hžį
his/her mother's younger sister	iihǫ́žį
aunt: paternal ~ (i.e., sister of father of male, either older or younger)	
my father's sister	wihcími
your father's sister	ðihcími
his/her father's sister	ihcími
authoritative, authority	wahtǫ́ka
authority: one with ~	totą́ha, wahtǫ́ka
automobile	éwažį ną́ąke
automobile tire or wheel	hcéðe
autumn, in the autumn	htąątą́
avoid something	íðišąha
awaken (intransitive)	íihkíðe, -xi
awaken (transitive) by foot	nąąxí
away: a short distance ~	áška
away: give ~	níðe, wakˀú
away: give ~ by pressing or pushing away (e.g., the ilǫ́ǫška drum)	kaaðéešpa
away: give things ~	waníðe
away: give ~ to each other	ohkíkˀu
away: give ~ to one's own people	kíkˀu
away: giving ~	ókˀu
away: go ~	mąðį́, okábra
away: pass or give ~ (e.g., the drum at ilǫ́ǫška dances)	kaaðée
away: take ~	aðį́aðee, aðį́mąðį, ðicíze
away: take ~ from someone something of his/her own	kilúuze
away: take ~ one's own	lúuze
away: throw ~	ǫ́ǫðe
awful	hpíiži
awhile	katxą́
axe	mą́ąhįska(?), mą́ąhįspe
baby	hpáažį
baby: have a ~	wéetaðe
baby: place or put a ~ on the baby board or inside	hpáažį okˀǫ́he
baby boy	šį́tožį
baby girl	šį́mįžį
baby board	oðópšé
baby board: place a baby on the ~	hpáažį okˀǫ́he
babyhood	hpáažį
babysit, babysitting	žįkókašą
back	xáða
back: attached to the ~	oðáha
back: arrive, come, or get ~	akší, akú, alée, alí
back: bring or take ~	aðį́aksi, aðį́aku, aðį́alee, aðį́ali
back: give ~	kíkˀu
back: go ~	mąlį́
back: in the ~ of	haaší
back: some days ~	hǫpái hašíhta
back (in return, again)	ki-
back (of the body)	ną́hka
back and forth: pass or go ~	ihkílašą
back and forth movement: make a ~(as when riding a teeter-totter)	sísiąðe
backward	xáða
bacon	wašį́
Baconrind (personal name)	wašį́haa
bad	hǫ́ǫži, hpíiži, óhesaži
bad: make something ~	ðuhpíiži
bad deeds (such as bad talk or theft)	ókˀą éži
bad disposition: having a ~	ókˀą hpíiži
bad dream	ohpáza
bad manners: having a ~	ókˀą hpíiži
bad dream	ohpáza
bad manners: having ~	ókˀą hpíiži
bad medicine	mąhká hpíiži
bad reputation: of ~	nǫhǫǫ
bad shaft of an arrow	mą́ąhpiiži
bad shape: be in ~	íhpiiži
bad temper	waðilą hpíiži
bad things	ízizike, táatą hǫ́ǫžį
bad things about someone: say ~	hkiláažoži
bad weather	mą́ąhpiiži
bad words	íe hpíiži
bad words: say ~	lǫ́ǫ
badger	xóoka
badly	óhesaži
bag	óožuhaa
bag: tobacco ~	nąnúhuoožúhaa, nąnįǫ́kužu
bait someone to say or do something	ožížie
bake in an oven	mą́zeǫ́ohǫ oohǫ́
bald	stá, štáha
bald: make ~	ðuuštá, ðuuštáštai
bald head	hpeeštá, wéelišta
bald headed	wéelišta
ball (used in a game)	htaapé
baloney	tǫ́ǫpše
banana	htóžąke
bank	mą́zeskahci
banner	haawálele
bar	hpéecenii ðaahtą́ hci, hpéeceniihci [archaic]
barbecue (refers only to cooking meat on a rack)	óhkace
barbecue meat: the black part of ~	táasaaki
barbecue rack	oážu, wážu
bare: make ~	ðuuštá
bare ground	oštá
barely	tó
barely touch	ðiihcé
bark (as a dog does)	hóo, hóohtą, óhoo
bark of a tree	hį́įce, xúhaa
bark of a tree: inner ~	žąąxúha
bark of a tree: outer ~	žąą háa
barren	wéetaðaži
Bartlesville (Oklahoma)	hkáwažį htą́wą
base (adjective)	iiséwaðe
basement	mą́įhkaši
bashful	wíeži
basta!	kaašǫ́ka
bat (flying mammal)	žą́ąhpaɣe
bath house	ohíiðahci
bathe, take a bath	hiiðá
bathe: place to ~	ohíiðá
bathroom	ožéhci
bathtub	ohíiða
baubles: bits and ~	ošpéžį
bawl out	kaazą́, toníðe
be	ðį́
be alive, be in good health	ní
be characterized by	ðį́
be here	ðeeká
be here or there	ecí, ecíke (scattered)
be in, among, or throughout an area or a group of people	omą́ðį
be so	ékǫ
be there	ahí
be there, be at that place, be at that time	ecí
beads	hį́įska, tóoce ðiláace (?), wapúśka
beads: prayer ~	wíkie hį́įska
beadwork (noun)	hį́įska káaɣe
beadwork: do ~	hį́įska káaɣe
bean vine	hǫbrį́ hi
beans	hǫbrį́ke
beans: green ~	hǫbrį́ke, hǫ́brįke htóho žį
bear (especially black bear)	wasápe
bear cub	wasápežį
beard	hį́į, į́hį
beat (conquer)	ohí
beat (e.g., a drum)	kaaštá
beat of a drum, beating sound	hcíce
beat someone in a race	káaxa
beat things (such as a drum)	óchį
beat up	óchį́
beautiful	ðaalį, ohtáza
beaver	žąąhpáto, žápe
because ('because' is often not expressed directly but implied by the logical or pragmatic relationship of one clause to another: for examples, see under 'burn' 'some', 'be thankful, grateful, 'far')	tą ('because' is often not expressed directly but implied by the logical or pragmatic relationship of one clause to another: for examples, see under táalį 'burn', tóa 'some',wéeną 'be thankful, gratefuĺ, wéhice 'far')
become (suddenly?)	ahí
become a person	ínihkašie
become angry or mad	óžį hpíiži
become embarrassed	iizíke
become extinguished	táaži
become soft or sodden	špǫ́ǫ
bed	ážą, óžą
bed: go to ~	žą́ą
bed: have someone in ~, put someone to ~	áðižą
bedclothes, bedding	omíže
beef: head of ~	hcéeska
beer	hkáwaceženii, níi ápuɣe [archaic]
beet	tóole žúe
beetle	walúška háa šooká
before (adverb)	haašíhta
before (ppn)	žišǫ́
beggar	waatášta
begin	hínąąžį
begin to	ahí
beginning: from the ~	hpahą́le
behave	óðohtą
behave oneself	óðohtąhkiðe
behavior: good ~	óðohtą, óðohtąhkiðe
behavior: in regard to ~	taa-
behind	haaší
behind: be ~	oðáha
behind: leave ~	ǫ́ǫðe
behind someone's back: ~	nąlǫ́ǫha
belch	íkˀo, wawékˀo
believe	ažį́, éðe
believe regarding someone	ažį́
belittle	ðaažóži
belittle someone	hkiláažoži
bell	íikaahtamą
bell: ring like a~	kaahtáama
bell: ring the ~	ðuuhkáamą
bells (such as the ones dancers tie around their legs)	mą́zeštahižį
belly	hcéze
belong to (a group)	oðízą
belong to him	íhta
belong to someone	íhta
belong to them	íhta, íhtaapi
beloved	óxta
beloved: someone or something ~ (such as a favorite child)	óðoxta
below	oðúluha
belt	íhpią
belt: men's dance ~	íišupe
belt: woman's yarn ~	hceehį́į
belt (worn by men outside a blanket)	íišupe
belt (worn by men with dance clothes or outside a blanket)	íhpią
beneath	oðúluha
bend: make ~ (e.g., a tree branch using the hands)	ðiizó
bend down	paacˀį́
bend one's body part (e.g., leg or arm)	ðuušǫ́
bend one's own (body part or possession), bend oneself	líizoke
bend over	kaapáacˀį
bent over (as a person, a tree, or a hooked staff)	cˀįša
bent over (referring to a human body)	cˀįxa
berry (inedible)	pazó
beside	páskuha
beside each other	hkiðé
best: be the ~ (above all others in a certain aspect)	ǫchí
best: do one's ~	íkˀuce, waašką́
best everyone in a game	óhi
best someone in a game	ohí
bet (noun)	óžokˀa
bet: make a ~	óžokˀa káaɣe
better: get ~ (in regard to illness)	kiní, kitą́he, kítąhe
between	ohtą́ną
bewitch or "witch" someone	kilǫ́źe
beyond	kootá, kootáha
beyond a certain point	kootáha
beyond another thing	áhkiha
Bible	waléze sápe
bicycle	hcéðe álįį, hcelį́ álįį
bid (noun)	oðáake
big	htą́ą, htą́ka, lą́ąðe
big goose or big duck	míɣa htą́ka
bill (paper money)	htaną́kˀa, htaną́kˀa mą́zeska
billfold	mą́zeskaoožú
bind (verb)	paaxcé
bind (as a blanket)	pašǫ́we
bird	wažį́ka
bird: game ~	míɣa
birth	wéetaðe
birth: give ~ (to)	iitáðe
birthday: have a ~	iitáðape ékitxą
birthing: be ~	waníe
biscuit	wacúe ðutáahpa
bit: a ~ (of)	hépe huužį
bit: a ~ (slightly)	ékǫ
bit(fragment)	kašpé, ošpéžį
bit of a whole coin (twelve and a half cents)	kašpé
bitch (female dogs)	šǫmį́įka
bite (verb)	ðaaxtáke
bite folks, bite people	waðáaxtake
bite into small pieces	ðáaxǫ́ke
bite oneself	hkilaaxǫ́
bits and baubles	ošpéžį
bitter	hpá
blabbermouth	táatąžį́ ški oðáake
black	sápe
black dog	šǫhtą́ą sa
Black Dog (personal name)	šǫ́ke sa
black person (African American)	mįhkása, mįįása, nihka sápe
black person: little ~	sáežį
black walnut	htákue
blackberry	waskúe sápe
blackhawk	letǫ́sape
bladder	céženiioožú
blanket	haxį́, mį́, omíže
blanket: man's ~	óhkihpaache
blanket: saddle ~	wákaśtǫ
blanket: woman's ~	mį́waapaache
blanket folded to cushion a seat	wákaštǫ
blanket wrapped around like a skirt	wáakipetxą
blazing star (Liatris punctata)	mąhká saakí
bleed	wapį́
blend	oðóhkiðe
bless	ðakˀéðe, ðuðáalį
bless: use to ~	íištope
bless: use to ~ oneself	íistahkiðe
bless or give a blessing with the hand	ðistópe
bless with	íista,íištope
blind: be ~	įįštá wawéeðeži
blind (covering, e.g. for a window)	akáaspe
blink (verb)	ðupˀį́ze
blink at each other	iištáðe ahkíliitože
blink repeatedly	ðupˀį́pˀįze
blink the eyes (at)	iištáðe ðiitóže
block someone's way	oðóšimąðį
blood	wapį́
blood vessel (vein or artery)	hką́, lušúpe
bloom (verb)	opáaɣa, paaɣace
blossom (verb)	paaɣace
blossom on a tree	žą́ąlaa
blow (transitive)	ðaažóce
blow (as one's nose)	píɣą
blow inside, into, or on (e.g., a fire in a fireplace)	opíɣą
blow on	ðaažóce
blow on something	píɣą
blow with force (as in blowing one's nose)	kaaží
blowing: by ~ (as on a fire to get it started)	pi-
blue	htóho
blustery	htaacé hpíiži [LFD] board: baby ~ oðópše
boat	páce
boating	pacíolįį
bobcat	įžį́akika, lį́xa
body (human)	žúoka
body odor	žą́xta
boil(noun)	ðéskali
boil(as food boils when cooking)	ápuɣe
boil dry, boiled dry	táapuze
boil over	táapuɣe
bois d'arc	mį́ceštá hu
bone	wahú
book	waléze
boot	hǫǫpésce [LFÐ]
born	iitáðe
borrow	ootá
boss (n, v)	oðówaðe, wakáaɣe
boss: be a ~	oðóðe
boss: be ~ of (e.g., an event)	oðówaðe
boss an event	oðóðe, óohkihą
boss of them	ðǫǫpá, éeðǫǫpa
both of us	éeðǫǫpa
bothered: be ~ by	áalake
bottle	oožú, óožu
bottle: pop ~	niikáapxokeoožú
bottom (buttocks)	įléha
bounce up (as in a car or wagon)	kaamą́šąšie
bouncy (as in rough ride)	kaamą́šąšiebow (noun) mį́ce
bowel movement: have a ~	žé
bowl (noun)	hį́įce, htáanieoožú, oožú
bowstring	mį́cehką
box (noun)	žą́ąhkoke
boy	šį́tožį
bracelet	áahkǫle
braid (noun)	hpáxįįsą
braids	héðǫǫpa
brain	waðílą
branch: tree ~	žą́ą káxa
branch (of a tree or a stream)	káxa, káxa žį
branch of a tree: broken ~	žą́ąkaaxǫ́
branches: small ~	žą́ąxežį́, žą́ąžį
brand (verb)	pážahta
branded (with a notch or cut, etc.)	žáhta
brave	wašóše
bread: light or leavened ~ (wheat bread, as opposed to corn bread)	watáahą
bread (or 'piece of bread'; any kind of bread: cornbread, wheat bread, etc)	wacúe
break	kaaléke, xǫ́
break a long object by pushing	paaxǫ́
break by biting	ðaaxǫ́
break by foot, break with the foot	nąąxǫ́
break by hand	ðiixǫ́
break by mouth	ðaaxǫ́
break by striking (a long object such as a stick)	kaaxǫ́
break down	pixǫ́
break into pieces by mouth	ðaaxǫ́ke
break into two parts	ðiixǫ́
break off (a large object such as a stick)	kaaxǫ́
break off a long item by using the hands(e.g., a limb, sofa, car antenna)	ðiixǫ́
break off by pushing(e.g., a limb)	paaxǫ́
break off someone's(e.g., a limb)	kíðiixǫ́
break one's own) e.g., a body part)	kiixǫ́, liixǫ
break one's own by mouth	láaxǫ
break one's own by shattering	kíleke
break someone's (e.g., a body part)	kíðiixǫ
break something of one's own mouth	láaxǫ
break up (e.g., a meeting)	panáa
break with the hands (e.g., a dish, an egg, a light bulb, a window)	ðuuléke
break wind	ðiipíɣą
break wind (with a small noise, by letting the air out slowly)	ðižíce
break wind noisily	ðibrį́ɣa
breakfast	kaasį́exci wanǫ́bre
breakfast food	kaasį́exci ónǫbre
breast	paazé
breath: run out of ~ from	íkaske
breath: short of ~	hehé
breathe	ónie
breathe hard	heháha
breathless: become ~ from	íkaske
breechcloth	xíðaxa
breechloading shotgun	wahóohtą opáaxǫ
breeze	htaacé
briars	waxáka
bridesmaid: have as a ~	íðuɣe
bridge (noun)	žą́ąkaaxǫ́
bright	skáha
bright colors	hį́į́
bring	akú
bring back here (motion underway)	aðį́aku
bring back here, bring back home (motion accomplished)	aðį́ali
bring back something that belongs to oneself	aláðįku
bring back there (motion accomplished)	aðį́akši
bring here (motion accomplished)	aðį́achi
bring here (motion underway)	aðį́ahu
bring home (motion accomplished)	aðį́akši
bring the parts of a whole together with pressure, bring components into contact	ðiiskíke
bring there (motion accomplished)	aðį́ahi
bring up (rear or raise)	nǫ́ǫðe
Bristow: Robin ~ (personal name)	wažážemį́įhcexį
broad	bráaða, lą́ąðe
broadcloth	haaštáha
broke (without money)	xǫ́
broken	xǫ́
broken: be ~	kaaléke, kaaxǫ́ (when useð with continuative aspect marker akxa or apa), xǫ́
broken heart	ðą́ące ðuusáaki, ðą́ące xǫ́
brooch	wápaɣa
broom	wékaacuxe
broth	htaaníi
brother (specifically, older brother of a female)	
'to my older brother' (speaker is female)	wihcį́to
'your older brother' (addressee is female)	ðihcį́to
'her older brother'	ihcį́to
brother (specifically, older brother of a male)	
'my older brother' (speaker is male)	wižįðe
'your older brother' (addressee is male)	ðižįðe
'his older brother'	ižį́ðe
brother (specifically, younger brother of a female)	
'my younger brother' (speaker is female)	wisǫ́ežį
'your younger brother' (addressee is female)	ðisǫ́ežį
'her younger brother'	isǫ́ežį
brother (specifically, younger brother of a male)	
'my younger brother' (speaker is male)	wisǫ́ka
'your younger brother' (addressee is male)	ðisǫ́ka
'his younger brother'	isǫ́ka
brother: baby ~ (of a female)	kxáhpą
brother-in-law (specifically, brother-in-law of a male)	
'my brother in law' (speaker is male)	wihtą́ha, htą́ha
'your brother in law' (addressee is male)	ðihtą́ha
'his brother in law'	ihtą́ha
brother-in-law (specifically, brother-in-law of a female)	
'my brother in law' (speaker is female)	wišíkˀe 
'your brother in law' (addressee is female)	ðišíkˀe
'her brother in law'	iśíkˀe
brow	hpée
brow: smooth ~	hpeeštá
brown (adjective)	zíhi, zízi, žíhi
brown: light ~ (like the color of elk hide)	ópxą, hį́į ekǫ́
brown (become brown by application of heat)	taazíhi
brown (i.e., to brown food)	taazíhiðe
browned	taazíhi
brownie (elf)	míalǫška
brush (verb)	kaaɣú
brush: wire ~	wákaapše
brush (for the hair)	wékaapše
brush arbor	áhcihtą, wažáihci
brush someone's hair	kípše
brush the mane or coat of an animal	kípše, wákaapše
buck	htáa, htáa htą́ka
bucket	céɣe
buckeye tea	htáška hí
buckskin	htaaháa
buckskin dress	haaská
bud on a tree	žą́ąlaa
buddy	hcošpá
buffalo	ðóxe, hcée
buffalo: small ~	hceežį́
buffalo: young or small male ~	hceetóežįká
buffalo calf: unborn ~	hceežį́
Buffalo Chief (personal name)	ðóxe kahíke
Buffalo Clan	ðóxe
buffalo horn(s)	hcehé
bug	walúška
bug with thick outer layer of exoskeleton	walúška háa šooká
build	káaɣe
build a fireplace or fire	océðe
build for oneself	hkihkáaɣe
bulge	hpá
bulk, in bulk	bróka
bull	hceeskátóoka
bun (woman's hairdo)	hpáxį ðuutáahpa
bunch: a whole ~ of	huuhtą́ka, huuwáli
bundle: gather and tie in a ~	paaxcé
burden: be a ~ to someone	ówǫ káaɣe
burdened: be ~ (e.g., with excessive woe)	íibrąxcį
burgundy (color)	žúuce sápe
burial ground	óxe mą́žą
burial place	óxe
burial stick (red stick put into a coffin at the head or foot, made of special wood)	hką́ące žąą
burn (verb)	osái, táaðįke káaɣe, táalį
burn cigarettes (as in a peyote meeting)	osái
burn down, burn up	táaðįke káaɣe
burned	táalį
burned meat	táasaaki
burning	íwili
burp	íkˀo, wawékˀo
burro	nąąhtą́htąą
burry	waxáka
burst	kaapxóhke
bushy head	héxpa
business: run a ~	oðówaðe
busy	ówǫ
busybody (refers to someone who is into everything)	ókˀąštą
but	ąži, kóe, ną
butcher (noun)	wapáse
butcher (verb)	hpáce, wahpáce
butter	paazénii wéli
butterfly	kį́įkįįežį
buttocks	įléha, ǫ́pe
button	oðíiną
button-snake-root (liatris punctata): dotted ~	mąhká saakí
buy	ðuwį́
buy for one's own (people, family)	lúwį
buy for oneself	hkíluwį
buy for someone	áðuwį, kíðuwį
buy from someone (something that belongs to that person)	kíðuwį
buy something of one's own (buy back)	lúwį
buy stuff with something	wéðúwį
buy things	waðúwį
buy with	íðuwį
buzzard	héka
by: pass ~	ákiɣe, ípše
by car	éwažį ną́ąke, oðihtą olį́į
by extreme of temperature	táa-
by foot ~ go ~	mąðį́
by hand	ðu - 
by heat or cold	táa-
by means of	í-
by mouth	ðaa-
by oneself	éwažį, ohką́ci
by striking	kaa-
by way of	ha
cabbage	wéelihtąą
cable	mą́ze
cache	nąlǫ́ǫhkile
Caddo (tribe or tribal member)	hįįšá
cafe	owánǫbrehcí
cake (e.g., birthday cake)	wacúe skúðe
calf: unborn ~	hceežį
call: phone ~ (noun)	mą́zeie
call by name (verb)	ðaacé
call by phone	mą́zeie híðe, ohkíe
call by phone: have something ~	mą́zeohkíhkie hukšíe
call each other names	hkílǫ(lǫ)
call folks names	walǫ́ǫ
call for folks (verb)	wapą́
call loudly	hóosaaki
call names	lǫ́ǫlǫǫ
call on someone's name	ðaacé
call one's own, call one's own by name	láace
call one's relative(s)	kíhpą
call someone a bad name	lǫ́ǫ
call to ask or summon s.o to attend or appear before others	kípą
calling songs	wapą́ waaðǫ́
calm (verb)	ðuuštáka
calm, calmly	škaškáða
calm (a person's ways or the weather)	štáke
camp (verb)	ahcí, hcí
can or other container for soda pop	niikáapxokeoožú
Canadian person	įįštáxį
candy	žąąníežį
cane	íisa
