Note: This is the same as the other Osage dictionary on file, but with indications of tone, vowel-length and aspiration/preaspiration.

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
afterward	𐓘́𐓧𐓣̄͘𐓡𐓘	álįįha
afterward (after the present event)	𐓘́𐓤𐓘𐓡𐓘𐓱𐓘	ákahahta
afterward (following, next)	𐓘́𐓥𐓣𐓡𐓘	áhkiha
again	𐓘𐓵𐓪̋𐓡𐓘, š𐓣	aðóoha, ši
again and again	š𐓣́𐓩𐓘͘	šíną
against: be ~	𐓣́𐓻𐓪š𐓣	ížoši
against: place vertically ~	𐓘́𐓧𐓘͘	álą
against all odds	𐓵𐓘̄͘𐓴𐓘́𐓻𐓣	ðąącháži
ago	𐓡𐓘̄š𐓣́𐓱𐓘	haašíhta
ago: a long time ~	𐓤𐓘̄𐓡𐓶̋𐓻𐓘	kaahúuža
agree, agree with	𐓣̄𐓩𐓘́͘𐓡𐓣	iiną́hi
agree with something	𐓣̋š𐓰𐓘͘	íištą
ahead	𐓤𐓪̄𐓰𐓘́𐓡𐓘	kootáha
ahead: go ~	𐓨𐓘͘𐓵𐓣́͘	mąðį́
ahead: go ~ with something	𐓟́𐓤𐓣𐓪͘	ékiǫ
aid (verb)	𐓪́𐓥𐓘͘	óhką
air	𐓱𐓘̄𐓲𐓟́	htaacé
airplane; ride or fly in an ~	𐓤𐓣̋͘	kį́į
alcohol; drink ~	𐓷𐓘𐓵𐓘̋𐓱𐓘͘	waðáahtą
alcoholic beverage	𐓭𐓟̋𐓲𐓟𐓩𐓣̄	hpéecenii
alert	𐓷𐓘𐓱𐓪́𐓤𐓟	wahtóke
alight (from)	𐓪́𐓮𐓣, 𐓪𐓷𐓣́𐓮𐓣	ósi, owísi
alight from (e.g., a vehicle or a horse)	𐓷𐓣́𐓮𐓣	wísi
alive: be ~	𐓩𐓣́	ní
all	𐓺𐓘̋𐓩𐓣	záani
all: that's ~	𐓤𐓘̄š𐓟́𐓩𐓘͘, 𐓤𐓘̄š𐓪́͘𐓣͘𐓤𐓟	kaašéną, kaašǫ́įke
all day (long)	𐓡𐓘̋͘𐓬𐓘 𐓺𐓘̋𐓩𐓣	hą́ąpa záani
all night: stay ~	𐓻𐓘̋͘	žą́ą
all other things	𐓰𐓘̋𐓰𐓘͘ 𐓟́𐓻𐓣š𐓤𐓣	táatą éžiški
all over, all paths and directions (e.g., children running off in all directions)	𐓡𐓘̋š𐓤𐓣	háaški
all right	š𐓤𐓘š𐓤𐓘́𐓵𐓘	škaškáða
all the time	𐓡𐓘̋𐓴𐓣, š𐓰𐓘͘	háachi, štą
all the world, all the universe	𐓩𐓣𐓪͘𐓱𐓘 𐓺𐓘̋𐓩𐓣	niǫhta záani
allow someone to do something	𐓤š𐓣𐓵𐓟	kšiðe
allow to live	𐓩𐓣́𐓵𐓟	níðe
almost	𐓵𐓪́𐓡𐓘, 𐓡𐓪́𐓩𐓣	ðóha, hóni
alone, be alone	𐓟́𐓷𐓘𐓻𐓣͘	éwažį
alone, leave ~ (a sitting person or thing)	š𐓪́͘𐓣͘𐓤š𐓟𐓵𐓟	šǫ́įkšeðe
alone, leave ~ ! (a command)	š𐓪́͘ 𐓵𐓣́𐓟	šǫ́ ðíe
alone, leave it ~	𐓤𐓘̄š𐓪́͘𐓟 𐓴𐓟	kaašǫ́e che
along: leave ~ without bothering, touching, or otherwise disturbing	š𐓪́͘𐓴𐓟𐓵𐓟́	šǫ́cheðé
along, alongside	𐓬𐓘́𐓮𐓤𐓶𐓡𐓘	páskuha
along a path	𐓡𐓘	ha
along that way	𐓟̋ 𐓱𐓘́𐓡𐓘	ée htáha
already	𐓵𐓣̄š𐓰𐓘́͘	ðiištą́
Alred: Jo Ann Shunkamolah ~ (personal name: Looking Only at Her)	𐓟̄𐓩𐓘́͘𐓰𐓪͘𐓣͘𐓬𐓟	eeną́tǫįpe
also	𐓟́š𐓤𐓣, š𐓤𐓣, -š𐓤𐓣𐓰𐓘͘	éški, ški, -škitą
always	𐓡𐓘̋𐓴𐓣, 𐓣́𐓤𐓣𐓡𐓘, 𐓤𐓘̄š𐓪́͘𐓟, 𐓩𐓘͘ [ITERATIVE], š𐓪̄͘š𐓪́͘𐓷𐓟, š𐓰𐓘͘	háachi, íkiha, kaašǫ́e, ną [ITERATIVE], šǫǫšǫ́we, štą
always did	𐓩𐓘͘𐓬𐓟	nąpe
always late	𐓪́𐓤𐓸𐓘͘𐓻𐓣	ókxąži
amen	𐓤𐓘̄š𐓟́𐓩𐓘͘	kaašéną
among: be ~	𐓪𐓵𐓣́𐓺𐓘͘, 𐓪𐓨𐓘́͘𐓵𐓣͘	oðízą, omą́ðį
among: be ~ a group of people	𐓪𐓨𐓘́͘𐓵𐓣͘	omą́ðį
among: be ~ others	𐓪𐓵𐓣́𐓺𐓘͘	oðízą
among: mixed ~	𐓣́𐓷𐓣𐓡𐓟	íwihe
amount: large ~	𐓡𐓶̄𐓱𐓘́͘𐓤𐓘	huuhtą́ka
amount: small ~	𐓡𐓟́𐓬𐓟𐓻𐓣͘	hépežį
amount: small ~ (approximately half a container)	𐓡𐓟́𐓬𐓟	hépe
amount: small ~ (not quite filling a container)	𐓪𐓡𐓟́𐓬𐓟	ohépe
amusing	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪́𐓰𐓘	wah́ohota, wahóta
amusing person	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘	wah́ohota
ancestors	𐓨𐓪́͘𐓬š𐓟	mǫ́pše
ancient	𐓤𐓪̋𐓲𐓣	kóoci
and	𐓤𐓪́𐓟, 𐓬𐓘́𐓰𐓘͘	kóe, pátą
and (in addition)	š𐓤𐓣	ški
and (in numbers only)	𐓟́𐓲𐓣	éci
and then	𐓤𐓘̋𐓤𐓪͘ 𐓰𐓘͘,𐓤𐓘𐓵𐓪́͘, 𐓤𐓪́𐓟	káakǫ tą,kaðǫ́, kóe
angel	𐓘̋𐓡𐓶𐓘𐓧𐓣̄͘	áahualįį
angle	𐓬𐓘̄𐓹𐓪́	paaɣó
angry	𐓷𐓘𐓻𐓣́͘ 𐓭𐓣̋𐓻𐓣	wažį́ hpíiži
angry: be ~	𐓧𐓪̋͘	lǫ́ǫ
angry: be ~ at someone	𐓪𐓥𐓣́𐓻𐓣͘	ohkížį
angry: be ~ at someone or at each other	𐓥𐓣́𐓻𐓣͘	hkížį
angry: be ~ with	𐓣𐓥𐓣́𐓻𐓣͘	ihkížį
angry: become or get~	𐓪́𐓻𐓣͘ 𐓭𐓣̋𐓻𐓣	óžį hpíiži
angry: feel ~ at	𐓥𐓣́𐓻𐓣͘	hkížį
angry: make someone ~	𐓵𐓶̋𐓧𐓘͘, 𐓷𐓘𐓻𐓣́͘ 𐓭𐓣̋𐓻𐓣 𐓤𐓘̋𐓹𐓟	ðúulą, wažį́ hpíiži káaɣe
animal	𐓷𐓘𐓲𐓶́𐓱𐓘	wacúhta
animal sounds: make ~ (moo, bark or howl, sing [as a bird], quack, etc.)	𐓡𐓪̋, 𐓡𐓪̋𐓱𐓘͘	hóo, hóohtą
ankle	𐓡𐓣̋𐓥𐓘͘	híihką
announcer	𐓷𐓘𐓲𐓣́𐓬𐓸𐓚	wacípxaį
annoyed: be ~ by	𐓘̋𐓧𐓘𐓤𐓟	áalake
annually	𐓪𐓨𐓘́͘𐓣͘𐓥𐓘 𐓷𐓣͘ 𐓡𐓣𐓟𐓩𐓘͘	omą́įhka wį hieną
anoint with	𐓮𐓰𐓘́𐓵𐓟	stáðe
another one	𐓟́𐓻𐓣 𐓷𐓣͘	éži wį
ant	𐓻𐓘́𐓬𐓶š𐓤𐓘	žápuška
anus	𐓣͘𐓧𐓟́𐓡𐓘	įléha
anxious: be ~ for	𐓣́𐓡𐓣𐓲𐓟	íhice
anxious: feel ~ about	𐓪́𐓵𐓘̄͘𐓲𐓟š𐓣 [LFD]	óðąąceši [LFD]
any	𐓰𐓪́𐓘	tóa
any other thing	𐓰𐓘̋𐓰𐓘, 𐓟́𐓻𐓣š𐓤𐓣	táata, éžiški
anybody	𐓡𐓪𐓷𐓘𐓵𐓟̋š𐓤𐓣, 𐓬𐓟̋	howaðéeški, pée
anyone	𐓬𐓟̋,́ 𐓷𐓣͘	pée,́ wį
anything	𐓡𐓪𐓷𐓘𐓴𐓟̋š𐓤𐓣, 𐓰𐓘̋𐓰𐓘͘	howachéeški, táatą
anything, anything else	𐓰𐓘̋𐓰𐓘͘ 𐓟́𐓻𐓣š𐓤𐓣	táatą éžiški
anything at all	𐓰𐓘̋𐓰𐓘͘ 𐓡𐓪𐓷𐓘𐓴𐓟̋š𐓤𐓣	táatą howachéeški
always late	𐓪́𐓤𐓸𐓘͘𐓻𐓣	ókxąži
amen	𐓤𐓘̄š𐓟́𐓩𐓘͘	kaašéną
among: be ~	𐓪𐓵𐓣́𐓺𐓘͘, 𐓪𐓨𐓘́͘𐓵𐓣͘	oðízą, omą́ðį
among: be ~ a group of people	𐓪𐓨𐓘́͘𐓵𐓣͘	omą́ðį
among: be ~ others	𐓪𐓵𐓣́𐓺𐓘͘	oðízą
among: mixed ~	𐓣́𐓷𐓣𐓡𐓟	íwihe
amount: large ~	𐓡𐓶̄𐓱𐓘́͘𐓤𐓘	huuhtą́ka
amount: small ~	𐓡𐓟́𐓬𐓟𐓻𐓣͘	hépežį
amount: small ~ (approximately half a container)	𐓡𐓟́𐓬𐓟	hépe
amount: small ~ (not quite filling a container)	𐓪𐓡𐓟́𐓬𐓟	ohépe
amusing	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪́𐓰𐓘	wah́ohota, wahóta
amusing person	𐓷𐓘𐓡́𐓪𐓡𐓪𐓰𐓘	wah́ohota
ancestors	𐓨𐓪́͘𐓬š𐓟	mǫ́pše
ancient	𐓤𐓪̋𐓲𐓣	kóoci
and	𐓤𐓪́𐓟, 𐓬𐓘́𐓰𐓘͘ (𐓪f𐓰𐓟𐓩 𐓩𐓪𐓰 𐓪v𐓟r𐓰𐓧y 𐓟𐓸𐓬r𐓟𐓮𐓮𐓟d 𐓣𐓩 O𐓮𐓘g𐓟)	kóe, pátą (often not overtly expressed in Osage)
and (in addition)	š𐓤𐓣	ški
and (in numbers only)	𐓟́𐓲𐓣	éci
and then	𐓤𐓘̋𐓤𐓪͘ 𐓰𐓘͘,𐓤𐓘𐓵𐓪́͘, 𐓤𐓪́𐓟	káakǫ tą,kaðǫ́, kóe
anew (see inceptive prefix)		
angel	𐓘̋𐓡𐓶𐓘𐓧𐓣̄͘	áahualįį
angle	𐓬𐓘̄𐓹𐓪́	paaɣó
angry	𐓷𐓘𐓻𐓣́͘ 𐓭𐓣̋𐓻𐓣	wažį́ hpíiži
angry: be ~	𐓧𐓪̋͘	lǫ́ǫ
angry: be ~ at someone	𐓪𐓥𐓣́𐓻𐓣͘	ohkížį
angry: be ~ at someone or at each other	𐓥𐓣́𐓻𐓣͘	hkížį
angry: be ~ with	𐓣𐓥𐓣́𐓻𐓣͘	ihkížį
angry: become or get~	𐓪́𐓻𐓣͘ 𐓭𐓣̋𐓻𐓣	óžį hpíiži
angry: feel ~ at	𐓥𐓣́𐓻𐓣͘	hkížį
angry: make someone ~	𐓵𐓶̋𐓧𐓘͘, 𐓷𐓘𐓻𐓣́͘ 𐓭𐓣̋𐓻𐓣 𐓤𐓘̋𐓹𐓟	ðúulą, wažį́ hpíiži káaɣe
animal	𐓷𐓘𐓲𐓶́𐓱𐓘	wacúhta
animal sounds: make ~ (moo, bark or howl, sing [as a bird], quack, etc.)	𐓡𐓪̋, 𐓡𐓪̋𐓱𐓘͘	hóo, hóohtą
ankle	𐓡𐓣̋𐓥𐓘͘	híihką
announcer	𐓷𐓘𐓲𐓣́𐓬𐓸𐓚	wacípxaį
annoyed: be ~ by	𐓘̋𐓧𐓘𐓤𐓟	áalake
annually	𐓪𐓨𐓘́͘𐓣͘𐓥𐓘 𐓷𐓣͘ 𐓡𐓣𐓟𐓩𐓘͘	omą́įhka wį hieną
anoint with	𐓮𐓰𐓘́𐓵𐓟	stáðe
another one	𐓟́𐓻𐓣 𐓷𐓣͘	éži wį
ant	𐓻𐓘́𐓬𐓶š𐓤𐓘	žápuška
anus	𐓣͘𐓧𐓟́𐓡𐓘	įléha
anxious: be ~ for	𐓣́𐓡𐓣𐓲𐓟	íhice
anxious: feel ~ about	𐓪́𐓵𐓘̄͘𐓲𐓟š𐓣 [LFD]	óðąąceši [LFD]
any	𐓰𐓪́𐓘	tóa
any other thing	𐓰𐓘̋𐓰𐓘, 𐓟́𐓻𐓣š𐓤𐓣	táata, éžiški
anybody	𐓡𐓪𐓷𐓘𐓵𐓟̋š𐓤𐓣, 𐓬𐓟̋	howaðéeški, pée
anyone	𐓬𐓟̋,́ 𐓷𐓣͘	pée,́ wį
anything	𐓡𐓪𐓷𐓘𐓴𐓟̋š𐓤𐓣, 𐓰𐓘̋𐓰𐓘͘	howachéeški, táatą
anything, anything else	𐓰𐓘̋𐓰𐓘͘ 𐓟́𐓻𐓣š𐓤𐓣	táatą éžiški
anything at all	𐓰𐓘̋𐓰𐓘͘ 𐓡𐓪𐓷𐓘𐓴𐓟̋š𐓤𐓣	táatą howachéeški
anything on doesn't like	𐓤𐓣𐓡𐓪̋͘𐓻𐓣	kihǫ́ǫži
antique	𐓤𐓪̋𐓲𐓣	kóoci
anyway	𐓪́𐓵𐓘͘𐓻𐓣	óðąži
apart: be ~	𐓤𐓣𐓵𐓘𐓡𐓘𐓬𐓘	kiðahapa
apart: pull or tear ~ (e.g., a tree limb from the trunk)	𐓵𐓶𐓬𐓘́𐓸𐓘	ðupáxa
apart from anyone else	𐓪𐓥𐓘́͘𐓲𐓣	ohką́ci
appear	𐓳𐓣̋͘, 𐓣́𐓵𐓪͘𐓬𐓟, 𐓷𐓘𐓳𐓣̋͘	hcį́į, íðǫpe, wahcį́į
appear a certain way: make one ~	𐓰𐓪́͘𐓬𐓟𐓷𐓘𐓵𐓟	tǫ́pewaðe
appear so	𐓰𐓪́͘𐓬𐓟𐓷𐓘𐓵𐓟	tǫ́pewaðe
appear suddenly	𐓷𐓘𐓳𐓣̋͘	wahcį́į
Appear Suddenly to Them (personal name)	𐓷𐓘𐓤𐓘̋𐓳𐓣͘𐓟	wakáahcįe
appendix (the internal organ)	š𐓶́𐓬𐓟	šúpe
appetite: have no ~	𐓷𐓘𐓩𐓪́͘𐓜𐓘𐓺𐓣	wanǫ́brazi
apple	𐓥𐓘̋͘𐓲𐓟	hką́ące
apply	𐓥𐓘̋͘𐓲𐓟	hką́ące
apply (a substance such as ointment, grease or cream)	𐓮𐓰𐓘́𐓵𐓟	stáðe
apply makeup	𐓣͘𐓲𐓟́ 𐓤𐓘̋𐓹𐓟	įcé káaɣe
apportion	𐓣́𐓥𐓣𐓧𐓘𐓣	íhkilai
appreciative	𐓪́𐓷𐓟̄𐓩𐓘	óweena
appreciative: be ~ (of)	𐓷𐓟́𐓟𐓩𐓘͘	wéeną
approach	𐓨𐓘͘𐓵𐓣́͘	mąðį́
appropriate	𐓵𐓘̄͘𐓴𐓟́, 𐓟́𐓤𐓪͘	ðąąché, ékǫ
appropriate: be ~	𐓣́𐓱𐓘	íhta
appropriately	𐓟́𐓤𐓪͘	ékǫ
approve of	𐓣̄𐓩𐓘́͘𐓡𐓣	iiną́hi
apricot	𐓥𐓘̋͘𐓲𐓟 𐓺𐓣 𐓻𐓣́͘	hką́ące zi žį́
April	𐓨𐓣̋͘𐓪͘𐓬𐓘 š𐓘́𐓬𐓟, 𐓨𐓣̋͘𐓪͘𐓬𐓘 𐓷𐓟𐓰𐓪̋𐓬𐓘	mį́įǫpa šápe, mį́įǫpa wetóopa
Arapaho (tribe or tribal member)	𐓘𐓣́͘𐓬𐓘𐓸𐓪	aį́paxo
arbor	𐓘́𐓳𐓣𐓱𐓘͘, 𐓷𐓘𐓻𐓘́𐓣𐓳𐓣	áhcihtą, wažáihci
arbor house: long ~	𐓡𐓘̄𐓮𐓤𐓘́𐓳𐓣	haaskáhci
arch of the foot	𐓪́𐓮𐓤𐓣, 𐓮𐓣̋𐓪𐓮𐓤𐓣	óski, síioski
area: cleared off ~	𐓪š𐓰𐓘́	oštá
argue on behalf of (e.g., as an attorney)	𐓘́𐓥𐓣𐓟	áhkie
argument	𐓪́𐓣𐓟, 𐓰𐓘̄𐓤𐓟́ 𐓣𐓟	óie, taaké ie
arise (from a bed or chair)	𐓭𐓘̄𐓡𐓘́͘	hpaahą́
arm	𐓘̋	áa
armband	𐓘̋𐓥𐓪͘, 𐓘̋𐓬𐓣𐓪𐓧𐓘͘	áahkǫ, áapiolą
armed forces	𐓘́𐓥𐓣𐓰𐓘, 𐓘́𐓥𐓣𐓰𐓘 𐓪𐓨𐓘́͘𐓵𐓣͘, 𐓰𐓘̄𐓤𐓟̌ 𐓪𐓩𐓘̋͘𐓻𐓣͘	áhkita, áhkita omą́ðį, taakě oną́ąžį
armed person	𐓘́𐓥𐓣𐓰𐓘	áhkita
army	𐓘́𐓥𐓣𐓰𐓘, 𐓘́𐓥𐓣𐓰𐓘 𐓪𐓨𐓘́͘𐓵𐓣͘	áhkita, áhkita omą́ðį
around	𐓪𐓤𐓘́𐓷𐓣͘𐓹𐓟	okáwįɣe
around: be ~ close	𐓘́𐓤𐓣𐓹𐓟	ákiɣe
around: go ~	𐓤𐓪́͘𐓤𐓪͘𐓟	kǫ́kǫe
around: go, pass, or walk ~	𐓘́𐓤𐓣𐓹𐓟, 𐓘́𐓬š𐓟	ákiɣe, ápše
around: go ~ something	𐓣́𐓵𐓣š𐓘͘𐓡𐓘	íðišąha
around: move or be all ~	𐓘́𐓤𐓣𐓹𐓟	ákiɣe
around: turn oneself ~	𐓘́𐓨𐓘͘𐓱𐓘 𐓥𐓣𐓧𐓣̋𐓤𐓫𐓹𐓟, 𐓥𐓣𐓧𐓣̋𐓮𐓘͘	ámąhta hkilíikoįɣe, hkilíisą
around: turn someone/something ~	𐓵𐓣̄𐓥𐓫́𐓹𐓟	ðiihkóįɣe
around: twist ~ (e.g., a crepe paper steamer)	𐓵𐓶𐓮𐓘́͘𐓮𐓘͘𐓷𐓣͘	ðusą́sąwį
around(as in drive around, turn around etc.)	𐓷𐓣͘𐓹𐓟	wįɣe
around(e.g., a house, tree, tipi, drum)	𐓘́𐓬𐓟𐓰𐓸𐓘	ápetxa
around the edge(e.g., of a pond)	𐓘́𐓤𐓣𐓹𐓟	ákiɣe
around this way	𐓵𐓟̄𐓤𐓘́𐓣𐓡𐓘	ðeekáiha
Aroused by Something That Suddenly Appears (personal name, referring to a deer suddenly looking up)	𐓷𐓘𐓤𐓘̋𐓳𐓣͘𐓟	wakáahcįe
arrange	𐓵𐓶̄𐓮𐓰𐓘́𐓤𐓪	ðuustáko
array (verb) (multiple items)on top of something else	𐓘́𐓻𐓶	ážu
arrest (put someone in jail)	𐓡𐓘̋͘𐓩𐓘𐓭𐓘𐓺𐓟́ 𐓪̄𐓧𐓘́͘	hą́ąnahpazé oolą́
arrive back here	𐓘𐓧𐓣́	alí
arrive back there	𐓘𐓤š𐓣́	akší
arrive here	𐓘𐓴𐓣́	achí
arrive here with (motion accomplished)	𐓘𐓵𐓣͘𐓘𐓴𐓣	aðįachi
arrive home	𐓘𐓤𐓮́𐓣́	akśí
arrive home here (motion accomplished)	𐓘𐓧𐓣́	alí
arrive there (motion accomplished)	𐓘𐓡𐓣́	ahí
arrow	𐓨𐓘́͘𐓘́͘	mą́ą́
arrow shaft	𐓨𐓪̋͘𐓮𐓟	mǫ́ǫse
arrow shaft tree	𐓨𐓪̋͘𐓮𐓘 𐓡𐓶	mǫ́ǫsa hu
artery (blood vessel)	𐓥𐓘́͘, 𐓧𐓶š𐓶́𐓬𐓟	hką́, lušúpe
arthritis	𐓷𐓘𐓡𐓶́𐓩𐓣	wahúni
artichoke	𐓭𐓪́͘𐓹𐓟	hpǫ́ɣe
as (see because)		
as	šq́	šq́
as...as	𐓟́𐓤𐓪́͘	ékǫ́
as well	𐓮́𐓤𐓣	śki
ashamed, feel ashamed	𐓣̄š𐓲𐓟́𐓷𐓘𐓣	iišcéwai
ashes	𐓩𐓣̋𐓸𐓪𐓲𐓟	níixoce
ashtray	𐓩𐓣̋𐓸𐓪́𐓲𐓪̄𐓻𐓶	níixócoožu
ask a favor	𐓷𐓘̄𐓰𐓘́, 𐓷𐓘š𐓣́	waatá, waší
ask a question	𐓣𐓵𐓪͘𐓹𐓟	iðǫɣe
ask concerning one's own people or things	𐓣𐓧𐓪́͘𐓹𐓟	ilǫ́ɣe
ask folks to work for one	𐓘́𐓷𐓘𐓷𐓘š𐓣	áwawaši
ask for	𐓰𐓘́	tá
ask for (as a loan), ask for something to use it	𐓪̄𐓰𐓘́	ootá
ask permission	𐓣̋𐓡𐓪͘	íihǫ
ask someone questions	𐓵𐓶̄𐓬𐓸𐓘́𐓵𐓟	ðuupxáðe
ask someone to do something	𐓟̋, 𐓣̋𐓡q	ée, íihq
ask someone to help out	𐓷𐓘š𐓣́	waší
aspirin or any other kind of medicine	𐓨𐓘͘𐓥𐓘́	mąhká
ass, asshole	𐓣͘𐓧𐓟́𐓡𐓘	įléha
ass (donkey)	𐓩𐓘̄͘𐓱𐓘́͘𐓱𐓘̄͘	nąąhtą́htąą
assassinate	𐓲'𐓟́𐓵𐓟	cˀéðe
assemble (as for a council)	𐓤𐓣̄𐓮𐓰𐓪́	kiistó
assign a name to something or someone	𐓵𐓘̄𐓲𐓟́	ðaacé
assist	𐓪́𐓥𐓘͘	óhką
assistant chief	𐓤𐓘𐓡𐓣́𐓤𐓟 𐓪́𐓤'𐓘͘, 𐓤𐓘𐓡𐓣́𐓤𐓟 𐓪𐓰𐓸𐓘́͘	kahíke ókˀą, kahíke otxą́
at	𐓲𐓣, 𐓤𐓣	ci, ki
at (something lying or spread out)	𐓤š𐓣	kši
at a time (e.g., a bit at a time, two at a time)	𐓩𐓘͘𐓵𐓟́	nąðé
at least	𐓩𐓘š𐓪͘	našǫ
